unique_id,pdp_url,competitor_name
00-867970,https://shop.billa.at/produkte/clever-zitronen-00867970,Billa
00-89479,https://shop.billa.at/produkte/ja-natuerlich-maroni-gegart-0089479,Billa
00-402495,https://shop.billa.at/produkte/ja-natuerlich-zucchini-00402495,Billa
00-443875,https://shop.billa.at/produkte/billa-bio-gurken-00443875,Billa
00-408966,https://shop.billa.at/produkte/da-komm-ich-her-gurke-00408966,Billa
00-89613,https://shop.billa.at/produkte/suppengruen-0089613,Billa
00-410646,https://shop.billa.at/produkte/da-komm-ich-her-paprika-tricolore-00410646,Billa
00-89614,https://shop.billa.at/produkte/ja-natuerlich-suppentasse-0089614,Billa
00-411113,https://shop.billa.at/produkte/da-komm-ich-her-paprika-rot-00411113,Billa
00-498544,https://shop.billa.at/produkte/ja-natuerlich-feldgurke-00498544,Billa
00-422619,https://shop.billa.at/produkte/ja-natuerlich-biohokkaidokuerbis-00422619,Billa
00-579260,https://shop.billa.at/produkte/ja-natuerlich-bio-spitzpaprika-rot-00579260,Billa
00-89717,https://shop.billa.at/produkte/lgv-mini-gurken-0089717,Billa
00-805088,https://shop.billa.at/produkte/da-komm-ich-her-rispenparadeiser-resi-00805088,Billa
00-415856,https://shop.billa.at/produkte/clever-zucchini-00415856,Billa
00-409241,https://shop.billa.at/produkte/da-komm-ich-her-kohlrabi-00409241,Billa
00-444674,https://shop.billa.at/produkte/billa-bio-ingwer-00444674,Billa
00-321422,https://shop.billa.at/produkte/ja-natuerlich-fenchel-00321422,Billa
00-89800,https://shop.billa.at/produkte/karfiol-0089800,Billa
00-89723,https://shop.billa.at/produkte/da-komm-ich-her-lauch-0089723,Billa
00-403137,https://shop.billa.at/produkte/da-komm-ich-her-paprika-gelb-00403137,Billa
00-579257,https://shop.billa.at/produkte/ja-natuerlich-minigurken-00579257,Billa
00-443874,https://shop.billa.at/produkte/billa-bio-paprika-00443874,Billa
00-89847,https://shop.billa.at/produkte/lgv-mini-san-marzano-tomaten-0089847,Billa
00-89508,https://shop.billa.at/produkte/da-komm-ich-her-radieschen-bund-0089508,Billa
00-804464,https://shop.billa.at/produkte/wunderlinge-karotten-00804464,Billa
00-579303,https://shop.billa.at/produkte/ja-natuerlich-biopremium-kirschtomaten-00579303,Billa
00-89793,https://shop.billa.at/produkte/da-komm-ich-her-weisskraut-0089793,Billa
00-443876,https://shop.billa.at/produkte/billa-bio-mini-paprika-00443876,Billa
00-407971,https://shop.billa.at/produkte/knollenknoblauch-00407971,Billa
00-89009,https://shop.billa.at/produkte/clever-knoblauch-0089009,Billa
00-865034,https://shop.billa.at/produkte/ja-natuerlich-sellerie-00865034,Billa
00-89104,https://shop.billa.at/produkte/da-komm-ich-her-paprika-gruen-0089104,Billa
00-401263,https://shop.billa.at/produkte/ja-natuerlich-lauch-00401263,Billa
00-576940,https://shop.billa.at/produkte/da-komm-ich-her-stangensellerie-00576940,Billa
00-409484,https://shop.billa.at/produkte/ja-natuerlich-karotten-mix-00409484,Billa
00-410693,https://shop.billa.at/produkte/da-komm-ich-her-chicoree-00410693,Billa
00-410232,https://shop.billa.at/produkte/da-komm-ich-her-snack-radieschen-00410232,Billa
00-435519,https://shop.billa.at/produkte/ja-natuerlich-rucola-00435519,Billa
00-514852,https://shop.billa.at/produkte/ja-natuerlich-snackkarotten-00514852,Billa
