Breadcrumbs,Product Name,Selling Price,Regular Price,Discount Percentage,Color,Sizes Available,Product URL,data_source_url
Women › New Arrivals,Athletic Oversized Polo - Red/White,$23.99,$39.99,40% OFF,Red/White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/athletic-oversized-polo-fncolorname-red-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Pretty With Purpose Maxi Dress - Green,$35.99,$59.99,40% OFF,Green,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/pretty-with-purpose-maxi-dress-fncolorname-green,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Back To Reality Ripped Straight Leg Jeans - Black Wash,$24.00,$34.99,DEALS,Black Wash,"0, 1, 3, 5, 7, 9, 11, 13, 15, 14 Plus, 16 Plus, 18 Plus, 20 Plus, 22 Plus",https://www.fashionnova.com/products/back-to-reality-ripped-straight-leg-jeans-fncolorname-black-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Haven Keyhole Pant Set - Chocolate,$23.99,$39.99,40% OFF,Chocolate,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/haven-keyhole-pant-set-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Serena Plunge Sleeveless Catsuit - Black,$23.99,$39.99,40% OFF,Black,"XS, S, M, L, XL",https://www.fashionnova.com/products/serena-plunge-sleeveless-catsuit-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Kirin Striped Tie Waist Micro Mini Skirt - Grey/combo,$14.99,$24.99,40% OFF,Grey/combo,"XXS, XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/kirin-striped-tie-waist-micro-mini-skirt-fncolorname-grey-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Catalina Crochet Maxi Dress - Orange,$32.99,$54.99,40% OFF,Orange,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/catalina-crochet-maxi-dress-fncolorname-orange,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Wild In Pink PJ Short Set - Hot Pink,$11.99,$19.99,40% OFF,Hot Pink,"S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/wild-in-pink-pj-short-set-hot-pink,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Don't Play With NY Baseball Hat - Camouflage,$7.49,$12.99,40% OFF,Camouflage,,https://www.fashionnova.com/products/dont-play-with-ny-baseball-hat-fncolorname-camouflage,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Nova Yoga 2 Pack Grip Socks - Black/Black,$7,$14,40% OFF,Black/Black,,https://www.fashionnova.com/products/nova-yoga-2-pack-grip-socks-fncolorname-black-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Angel Energy Halter Organza Mini Dress - LightPink,$29.99,$49.99,40% OFF,LightPink,"XS, S, M, L, XL",https://www.fashionnova.com/products/angel-energy-halter-organza-mini-dress-fncolorname-lightpink,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Milena Asymmetrical Textured Midi Dress - White,$20.99,$34.99,40% OFF,White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/milena-asymmetrical-textured-midi-dress-fncolorname-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Libby Boxy Crop Zip Hoodie Fleece Sweatshirt - Heather Grey,$10.00,$29.99,DEALS,Heather Grey,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/libby-boxy-crop-zip-hoodie-fleece-sweatshirt-fncolorname-heather-grey,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Veda Floral Mesh Maxi Dress - Pink/combo,$29.99,$49.99,40% OFF,Pink/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/veda-floral-mesh-maxi-dress-fncolorname-pink-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
