parent_url,name,link
https://www.webstaurantstore.com/restaurant-equipment.html,Snow Cone Machines and Commercial Ice Shavers,https://www.webstaurantstore.com/13371/snow-cone-machines-and-commercial-ice-shavers.html
https://www.webstaurantstore.com/restaurant-equipment.html,Gas Connectors and Gas Hoses,https://www.webstaurantstore.com/14821/gas-connectors-and-gas-hoses.html
https://www.webstaurantstore.com/restaurant-equipment.html,Commercial Blender Parts and Accessories,https://www.webstaurantstore.com/35099/commercial-blender-parts-and-accessories.html
https://www.webstaurantstore.com/restaurant-equipment.html,Casters,https://www.webstaurantstore.com/49099/casters.html
https://www.webstaurantstore.com/restaurant-equipment.html,Range Parts and Accessories,https://www.webstaurantstore.com/15053/range-parts-and-accessories.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Disposable Plates,https://www.webstaurantstore.com/45835/plastic-disposable-plates.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Cutlery / Utensils,https://www.webstaurantstore.com/54139/plastic-cutlery-utensils.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Cups and Lids,https://www.webstaurantstore.com/639/plastic-cups-and-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Disposable Plastic Barware and Cups,https://www.webstaurantstore.com/649/disposable-plastic-barware-and-cups.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Straws & Stirrers,https://www.webstaurantstore.com/753/straws.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper Cups and Lids,https://www.webstaurantstore.com/573/paper-cups-and-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper Napkins,https://www.webstaurantstore.com/547/paper-napkins.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Disposable Soup Containers,https://www.webstaurantstore.com/11985/disposable-soup-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper Food Trays,https://www.webstaurantstore.com/251/paper-food-trays.html
