product_name,website,product_url
Cantaloupmelone,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/18877/s/cantaloupmelone-0080535/category/64/
Galiamelone,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/18728/s/galiamelone-0080545/category/64/
Mandarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/18500/s/mandarinen-0080090/category/64/
Mango,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/18376/s/mango-0080715/category/64/
Schweizer Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/18224/s/schweizer-kartoffeln-0083245/category/64/
"Spitzpaprika grün, scharf",lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/17603/s/spitzpaprika-gruen-scharf-0082577/category/64/
Schweizer Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/17301/s/schweizer-kartoffeln-0083225/category/64/
Ebly Zartweizen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/17137/s/ebly-zartweizen-0008998/category/64/
Schweizer Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16980/s/schweizer-kartoffeln-0083275/category/64/
Blumenkohl und Broccoli Mini Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16547/s/blumenkohl-und-broccoli-mini-mix-0082887/category/64/
Schweizer Saucenzwiebeln Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16529/s/schweizer-saucenzwiebeln-mix-0083343/category/64/
Schweizer Rüebli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16457/s/schweizer-rueebli-0082755/category/64/
Schweizer Pak Choi,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16197/s/schweizer-pak-choi-0082923/category/64/
Schweizer Dattelcherrytomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16087/s/schweizer-dattelcherrytomaten-0082410/category/64/
Schweizer Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/16055/s/schweizer-kartoffeln-0083223/category/64/
Heidelbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15968/s/heidelbeeren-0080818/category/64/
Bio Champignons braun,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15947/s/bio-champignons-braun-0084597/category/64/
Kirschen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15878/s/kirschen-0080363/category/64/
Fairtrade Baby Bananen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15826/s/fairtrade-baby-bananen-0080021/category/64/
Zitronen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15786/s/zitronen-0080171/category/64/
Schweizer Schalotten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15555/s/schweizer-schalotten-0083377/category/64/
Spitzpeperoni hellgrün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15399/s/spitzpeperoni-hellgruen-0082569/category/64/
Schweizer Rüebli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15344/s/schweizer-rueebli-0082761/category/64/
Bio Birnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/14749/s/bio-birnen-0081580/category/64/
Saftorangen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/14074/s/saftorangen-0080155/category/64/
Baby Wassermelonen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13976/s/baby-wassermelonen-0080537/category/64/
