"project_name","data_source_url"
"sample","https://github.com/snehasatheesh2026-sketch"
"first-commit","https://github.com/snehasatheesh2026-sketch"
"minicalculator","https://github.com/snehasatheesh2026-sketch"
"ATM_Mini_Project","https://github.com/snehasatheesh2026-sketch"
"Titanic-ML-Project","https://github.com/snehasatheesh2026-sketch"
"movie-recommendation","https://github.com/snehasatheesh2026-sketch"
"hw-training","https://github.com/snehasatheesh2026-sketch"
"pythonworks","https://github.com/snehasatheesh2026-sketch"
"hello","https://github.com/snehasatheesh2026-sketch"
