product_name,pdp_url
"Senčilo za veke Mono, 23 Pearly Grey, 1,5 g",https://www.dm.si/p/d/1453308/alverde-naturkosmetik-sencilo-za-veke-mono-23-pearly-grey
"Senčilo za veke Mono Eyeshadow Glitter, 01 Frosted Shine, 2 g",https://www.dm.si/p/d/3117003/essence-sencilo-za-veke-mono-eyeshadow-glitter-01-frosted-shine
"Senčilo za veke Wonder Match, 06 Rose Glow, 3 g",https://www.dm.si/p/d/2977917/eveline-cosmetics-sencilo-za-veke-wonder-match-06-rose-glow
"Look Up paleta senčil za veke Let's Try!, 11 g",https://www.dm.si/p/d/2278259/eveline-cosmetics-look-up-paleta-sencil-za-veke-let-s-try
"Senčilo za veke Mono Eyeshadow Glitter, 03 Blushed Stardust, 2 g",https://www.dm.si/p/d/3116989/essence-sencilo-za-veke-mono-eyeshadow-glitter-03-blushed-stardust
"Kremno senčilo za veke, 03 Oyster, 5 g",https://www.dm.si/p/d/3091042/essence-kremno-sencilo-za-veke-03-oyster
"Tekoče senčilo za veke Vamp! – 09 Cream, 4 ml",https://www.dm.si/p/d/2291083/pupa-tekoce-sencilo-za-veke-vamp-09-cream
"Večnamenska paleta za konturiranje 4 v 1 Celebrity Skin, 16 g",https://www.dm.si/p/d/3111286/eveline-cosmetics-vecnamenska-paleta-za-konturiranje-4-v-1-celebrity-skin
"Kremno senčilo za veke, 04 Cocoa, 5 g",https://www.dm.si/p/d/3091043/essence-kremno-sencilo-za-veke-04-cocoa
"Kremno senčilo za veke, 02 Pearl, 5 g",https://www.dm.si/p/d/3091041/essence-kremno-sencilo-za-veke-02-pearl
"Senčilo za veke, 02 Nude Gold, 1,5 g",https://www.dm.si/p/d/1453302/alverde-naturkosmetik-sencilo-za-veke-02-nude-gold
"Tekoče senčilo za oči 2 v 1 Dream Duo 010, 4,4 ml",https://www.dm.si/p/d/3112639/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-010
"Senčilo za veke in lica Luminous Touch - 010, 4,6 g",https://www.dm.si/p/d/3112642/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-010
"Kremno senčilo za oči Metallic Spark, 020 Diamond Dust, 4 g",https://www.dm.si/p/d/3039205/catrice-kremno-sencilo-za-oci-metallic-spark-020-diamond-dust
"Paleta za konturiranje Wonder Match 01, 10,8 g",https://www.dm.si/p/d/2561553/eveline-cosmetics-paleta-za-konturiranje-wonder-match-01
"Kremno senčilo za oči v stiku Raven, 1,8 g",https://www.dm.si/p/d/3050100/indy-beauty-kremno-sencilo-za-oci-v-stiku-raven
"Paleta senčil Rocky Rose, 4,8 g",https://www.dm.si/p/d/1606495/trend-t-up-paleta-sencil-rocky-rose
"Senčilo za veke v stiku Cooling Aqua 020, 1,4 g",https://www.dm.si/p/d/3044104/trend-t-up-sencilo-za-veke-v-stiku-cooling-aqua-020
"Senčilo za veke Mono Eyeshadow Pearly, 01 Golden Glow, 2 g",https://www.dm.si/p/d/3116991/essence-sencilo-za-veke-mono-eyeshadow-pearly-01-golden-glow
"Tekoče senčilo za oči 2 v 1 Dream Duo 020, 4,4 ml",https://www.dm.si/p/d/3112640/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-020
"Kremno senčilo za veke, 01 Rose, 5 g",https://www.dm.si/p/d/3091040/essence-kremno-sencilo-za-veke-01-rose
"Tekoče senčilo za oči 2 v 1 Dream Duo 030, 4,4 ml",https://www.dm.si/p/d/3112641/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-030
"Senčilo za veke Wonder Match, 01 Base, 3 g",https://www.dm.si/p/d/2977872/eveline-cosmetics-sencilo-za-veke-wonder-match-01-base
"Senčilo za veke Mono Eyeshadow Matte, 03 Deep Ink, 2 g",https://www.dm.si/p/d/3117001/essence-sencilo-za-veke-mono-eyeshadow-matte-03-deep-ink
