unique_id,competitor_name,product_name,brand_name,selling_price,currency,image_1,image_2,image_3,rating,pdp_url
4059729367020,dm,"Paleta senčil za veke The Pure Nude, 9 g",CATRICE,6.10,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747463273/assets/pas/images/4dabdc9a-374b-4065-a699-81480c73796f/catrice-paleta-sencil-za-veke-the-pure-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747463459/assets/pas/images/079abc6d-b9c6-47ac-8af1-5e8296dc820a/catrice-paleta-sencil-za-veke-the-pure-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747463465/assets/pas/images/1e727eb2-96e5-4eeb-aaa4-eafdfff7389c/catrice-paleta-sencil-za-veke-the-pure-nude",4.83,https://www.dm.si/p/d/1664434/catrice-paleta-sencil-za-veke-the-pure-nude
3616302463893,dm,"Paleta senčil Masterpiece 001 Nude, 6,5 g",MAX FACTOR,19.50,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747424661/assets/pas/images/dfc9ad92-0fc1-4a0f-b147-a9b95951a467/max-factor-paleta-sencil-masterpiece-001-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747424795/assets/pas/images/67b35817-a58f-4aa2-bc6c-04bb2a545a00/max-factor-paleta-sencil-masterpiece-001-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747424514/assets/pas/images/9e7b1cb0-db77-44a2-b48a-297e92b48b2c/max-factor-paleta-sencil-masterpiece-001-nude",5.0,https://www.dm.si/p/d/1872376/max-factor-paleta-sencil-masterpiece-001-nude
800897246488,dm,"Paleta senčil Ultimate Shadow - I Know That's Bright, 12,8 g",NYX PROFESSIONAL MAKEUP,20.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1768342767/assets/pas/images/cc8105cf-2b08-4ac6-99a3-2675c71798fb/nyx-professional-makeup-paleta-sencil-ultimate-shadow-i-know-that-s-bright","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1768342761/assets/pas/images/e4a7a220-3f89-4388-984d-cc8eeb4528e1/nyx-professional-makeup-paleta-sencil-ultimate-shadow-i-know-that-s-bright",,4.6,https://www.dm.si/p/d/1702182/nyx-professional-makeup-paleta-sencil-ultimate-shadow-i-know-that-s-bright
3616302463886,dm,"Paleta senčil Masterpiece 003 Nude, 6,5 g",MAX FACTOR,19.50,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747425168/assets/pas/images/01870ee6-23a7-4a2d-b5d0-713e01fd6c07/max-factor-paleta-sencil-masterpiece-003-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747425092/assets/pas/images/ce5a23b6-a92b-46fd-b467-ac4038505eb8/max-factor-paleta-sencil-masterpiece-003-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747425193/assets/pas/images/f2e1d7f6-eded-4782-a0ba-3578c0b70e33/max-factor-paleta-sencil-masterpiece-003-nude",4.54,https://www.dm.si/p/d/1602150/max-factor-paleta-sencil-masterpiece-003-nude
4059729245854,dm,"Paleta senčil the NUDE edition 10 Pretty In Nude, 10 g",essence,4.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747459935/assets/pas/images/36572383-53ea-4b62-a689-b87c636e639f/essence-paleta-sencil-the-nude-edition-10-pretty-in-nude","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747460037/assets/pas/images/df7e273c-a880-40af-92e9-823f755f0e13/essence-paleta-sencil-the-nude-edition-10-pretty-in-nude",,4.59,https://www.dm.si/p/d/1635407/essence-paleta-sencil-the-nude-edition-10-pretty-in-nude
3600531199081,dm,"Paleta senčil THE NUDES, 9,6 g",MAYBELLINE NEW YORK,15.45,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747419366/assets/pas/images/64d6db86-cd27-4cc8-b922-5b3bb2ffea6b/maybelline-new-york-paleta-sencil-the-nudes","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747419379/assets/pas/images/25d776d2-7338-4d5c-913e-d4231274b79b/maybelline-new-york-paleta-sencil-the-nudes",,4.56,https://www.dm.si/p/d/1432426/maybelline-new-york-paleta-sencil-the-nudes
4059729245861,dm,"Paleta senčil the ROSE edition 20 Lovely In Rose, 10 g",essence,4.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747460097/assets/pas/images/a035f21d-11b1-4a0c-9f84-97f59f363fb5/essence-paleta-sencil-the-rose-edition-20-lovely-in-rose","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747460097/assets/pas/images/609e4f43-cd2c-41f7-8644-63c113dc5f03/essence-paleta-sencil-the-rose-edition-20-lovely-in-rose",,4.48,https://www.dm.si/p/d/1635408/essence-paleta-sencil-the-rose-edition-20-lovely-in-rose
800897246501,dm,"Paleta senčil Ultimate Shadow - Warm Neutrals, 12,8 g",NYX PROFESSIONAL MAKEUP,20.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1768342723/assets/pas/images/0296cd5c-c997-42e9-87c6-64dc570f4130/nyx-professional-makeup-paleta-sencil-ultimate-shadow-warm-neutrals","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1768342718/assets/pas/images/b378cdad-be3d-4a6b-b594-0f8c9457caf8/nyx-professional-makeup-paleta-sencil-ultimate-shadow-warm-neutrals",,4.88,https://www.dm.si/p/d/1704151/nyx-professional-makeup-paleta-sencil-ultimate-shadow-warm-neutrals
4059729514530,dm,"Paleta senčil za veke The Dark Cocoa, 9 g",CATRICE,6.10,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747473685/assets/pas/images/430c9171-25c7-421b-8035-b777c49b1ef7/catrice-paleta-sencil-za-veke-the-dark-cocoa","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747473692/assets/pas/images/616f3534-fc06-404a-8267-4ba6b3d279b1/catrice-paleta-sencil-za-veke-the-dark-cocoa",,4.79,https://www.dm.si/p/d/3039209/catrice-paleta-sencil-za-veke-the-dark-cocoa
4066447594034,dm,"Paleta senčil za veke, 50 Nude Glam, 11,2 g",alverde NATURKOSMETIK,5.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1774598275/assets/pas/images/d1f2ea10-8993-485e-be57-3d81452b0035/alverde-naturkosmetik-paleta-sencil-za-veke-50-nude-glam","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747483983/assets/pas/images/4347fc83-6eb8-4af2-bd8a-eb8074cfd51e/alverde-naturkosmetik-paleta-sencil-za-veke-50-nude-glam",,4.43,https://www.dm.si/p/d/1453273/alverde-naturkosmetik-paleta-sencil-za-veke-50-nude-glam
4058172012464,dm,"Paleta senčil za veke QUATTRO 37 Chocolate, 4,4 g",alverde NATURKOSMETIK,4.75,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747448806/assets/pas/images/f8836950-a2dd-4af0-a2c6-7bc1dd226b75/alverde-naturkosmetik-paleta-sencil-za-veke-quattro-37-chocolate","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747449627/assets/pas/images/28805a9b-1191-42c9-bd26-7eedde99f5fc/alverde-naturkosmetik-paleta-sencil-za-veke-quattro-37-chocolate",,4.57,https://www.dm.si/p/d/1361483/alverde-naturkosmetik-paleta-sencil-za-veke-quattro-37-chocolate
